from_passage	to_passage	choice_description	bard_choice
1	3	Continue with spoilers	Y
1	36	No spoilers	
1	22	Learn about author	
1	2	Ignore the choices	
2	1	Try again	
3	36	Choose a character	Y
4	5	Drink protein shake	
5	6	Clean your room	
6	7	Go have fun	
7	8	Finish workout	
8	9	Nurse answers	Y
8	9	Hesitate	
9	10	Ask what they want to discuss	Y
9	418	Rooster testical context	
10	25	Run and never look back	
10	11	Yes, mom	Y
11	25	Run and never look back	
11	12	Yes, mom	Y
12	13	Yes, mom	Y
12	44	No, mom	
13	51	Be Romeo, crash party	Y
14	28	Talk about breakfast	Y
14	20	Talk about love	
15	36	Choose a character	
16	32	Eat breakfast	
17	38	Go to breakfast	
18	52	Impossible to forget her	Y
18	39	Try to forget her	
19	50	Say you can read	Y
19	37	Say you're illiterate	
20	48	Talk about love more	
20	38	Talk over breakfast	
21	14	Talk to Benvolio	
22	15	Learn about OTHER author	
22	475	Learn about artists	
23	54	Follow parents	
23	30	Follow Capulets	
24	49	Forget about Rosaline	
24	35	Fake your death	
25	46	Go to Romeo District	
25	33	Return home	
26	32	Eat breakfast	
27	14	Talk to Benvolio	Y
27	21	Hide in the garbage	
28	17	Ask about vest	
28	38	Ask about blood (breakfast)	
28	48	Talk about love	Y
29	52	Impossible to forget her	
29	39	Try to forget her	
30	42	Disguise as a maid	
30	55	Disguise as a wall	
31	THE END	Finish the story	
32	40	Learn about eating	
32	23	Keep talking	
33	58	Join the party	
34	45	Arrive at breakfast	
35	59	Time passes	
36	4	Be Juliet	
36	27	Be Romeo	Y
37	45	Arrive at breakfast	
38	16	Plan to kill all the Capulets	
38	26	Plan to marry all the Capulets	
39	24	Go to Friar's house	
40	23	Talk and breathe	
40	31	Choke and suffocate	
41	79	Rock	
41	60	Paper	
41	67	Scissors	
42	89	Clean Capulet's room	
42	56	Clean another room	
43	51	Go to the party	
44	58	Join party	
45	16	Plan to kill all the Capulets	
45	26	Plan to marry all the Capulets	
46	57	Examine dudes	
46	75	Ignore dudes	
47	62	Time passes	
48	29	Tell about Rosiline	
48	18	Class it up about Rosiline	Y
49	THE END	Finish the story	
50	43	Go to the party for Rosaline	
50	34	Skip the party b/c Rosaline	
50	8	Get stuff done as Juliet	Y
51	73	Listen to Mercutio	Y
51	61	Arrive at party	
52	19	Listen to lecture on feelings	Y
52	6	Be Juliet to avoid feelings	
53	69	Kiss her	
54	64	Rock	
54	41	Paper	
54	83	Scissors	
55	THE END	Finish the story	
56	89	Clean Capulet's room	
56	65	Clean another room	
57	92	Talk to Yolo Brewski	
57	63	Talk to Jake Wheeze	
58	74	Talk as the dude	
58	68	Talk as myself	
59	47	Time passes	
60	53	This is just a zany scheme	
60	102	Destroy the cheater	
61	100	Look left	
61	116	Look right	Y
61	80	Look behind	
62	THE END	Finish the story	
63	92	Talk to Yolo Brewski	
63	75	Ignore dudes	
64	72	Rock	
64	41	Paper	
64	83	Scissors	
65	89	Clean Capulet's room	
65	71	Clean another room	
66	93	Kick everyone out	
66	78	Puke and sleep	
67	53	This is just a zany scheme	
67	102	Destroy the cheater	
68	94	Kiss him	
68	77	Don't kiss yet	
69	THE END	Finish the story	
70	THE END	Finish the story	
71	101	Finally clean Capulet's room	
71	95	Clean another room	
72	64	Rock	
72	41	Paper	
72	83	Scissors	
73	90	Save 20 minutes	
73	112	Listen to Mercutio	Y
74	96	Holy shrine & pilgrims	
74	96	Hold hands or kiss	
75	84	Drink water	
75	66	Don't drink water	
76	115	Be with Tom	
76	98	Drink in his face	
77	104	Kiss him	
77	88	Hard to get	
78	86	Wake up the next morning	
79	53	This is just a zany scheme	
79	102	Destroy the cheater	
80	103	Look drunkenly left	
80	87	Look drunkenly right	
81	THE END	Finish the story	
82	117	Kill Tom	
82	107	Refuse to marry Tom	
83	53	Make Juliet fall for you	
84	70	Kick everyone out	
84	78	Puke and sleep	
85	THE END	Finish the story	
86	THE END	Finish the story	
87	THE END	Finish the story	
88	113	Kiss him	
88	97	Delay more	
89	69	Kiss her	
90	99	Predict your demise	
90	61	Arrive at party	
91	THE END	Finish the story	
92	THE END	Finish the story	
93	86	Wake up the next morning	
94	76	Ask about interests	
94	82	Don't ask about interests	
95	THE END	Finish the story	
96	85	Bail on her	
96	111	Keep talking to her	Y
97	113	Kiss him	
97	141	Stand motionless	
98	117	Kill Tom	
98	107	Ignore Tom	
99	61	Arrive at party	Y
100	24	Go to Friar's house	
101	89	Arrive at Capulet's room	
102	81	Go buy swords	
102	91	Punch each other	
103	THE END	Finish the story	
104	113	Kiss him	
105	THE END	Finish the story	
106	THE END	Finish the story	
107	THE END	Finish the story	
108	121	Check the last balcony	
109	167	Check the other balcony	
109	121	Check the last balcony	
110	157	Wish to be a glove	
110	142	Keep staring	Y
111	120	Clock chimes midnight	Y
112	99	Predict your demise	Y
112	61	Arrive at party	
113	120	Clock chimes midnight	
114	153	Call for your parents	
114	163	Talk to him	
115	THE END	Finish the story	
116	123	Hold hands	
116	96	Holy shrine & pilgrims	Y
116	96	Hold hands or kiss	
117	145	Poison	
117	105	Stabbing	
118	163	Calm down as Juliet	
118	150	Hide in the bushes	
119	108	Check the wood balcony	
119	167	Check the other balcony	
120	148	Continue as Romeo	Y
120	154	Continue as Juliet	
121	THE END	Finish the story	
122	169	Pass time as Juliet	
122	178	Find nurse as Romeo	
122	217	Deliver message as Nurse	
122	169	Pass time	
122	178	Be Romeo and find the nurse	Y
122	217	Be the nurse and have an adventure	
123	24	Go to Friar's house	
124	128	Refuse scheme	
124	127	Invent love potion	
125	130	Revert the drugs	
125	133	Spray the entire forest	
126	THE END	Finish the story	
127	132	Test it	
127	136	Don't test it	
128	THE END	Finish the story	
129	135	Return to Oberon	
129	126	Drink/use potion	
130	138	Read more	
130	396	Finish reading	
130	THE END	Finish the story	
131	THE END	Finish the story	
132	129	Concentrate potion	
132	136	Good enough	
133	THE END	Finish the story	
134	138	Read bonus book	
134	396	Done reading	
134	138	Read more	
134	THE END	Finish the story	
135	137	Look by the pond	
135	125	Look by the meadow	
136	THE END	Finish the story	
137	134	Revert the drugs	
137	131	Kill Oberon	
138	396	Finish reading	
139	153	Call for your parents	
139	163	Talk to him	
140	158	Swear on your self	
140	187	Slow down	
141	113	Kiss him	
142	163	Calm down as Juliet	Y
142	170	Talk out of it as Romeo	
142	150	Hide in the bushes	
143	160	Get married	
144	106	Go to bed	
144	159	Stay on the balcony longer	
145	THE END	Finish the story	
146	227	Look at the machine	
146	236	Go south	
147	157	Wish to be a glove	
147	118	Keep staring	
148	119	Check the stone balcony	
148	155	Check the wooden balcony	
148	167	Check the other balcony	Y
149	192	Get married	
149	166	Get married as Juliet	Y
149	156	Skip the wedding	
150	THE END	Finish the story	
151	THE END	Finish the story	
152	164	Arrive in the past	
153	THE END	Finish the story	
154	106	Go to bed	
154	144	Stay awake on the balcony	
155	109	Examine stone balcony	
156	192	Go to the wedding	
156	199	Skip the wedding	
157	THE END	Finish the story	
158	178	Go home and sleep	
158	167	Examine other balcony	
159	114	Talk fancy to yourself	
159	139	Talk normal to yourself	
160	203	Get married	
160	172	Skip the wedding scene	Y
161	173	Go South	
162	THE END	Finish the story	
163	122	Confess love	Y
163	151	Ask him to go slow	
164	THE END	Finish the story	
165	177	Want more story	
165	235	Accept ending	
165	THE END	Finish the story	
166	160	Get married	Y
167	110	Talk fancy to her	Y
167	147	Talk normal to her	
168	THE END	Finish the story	
169	194	Ask about Romeo	
169	143	Violently ask about Romeo	
170	140	Swear by the moon	
170	158	Swear by your self	
170	187	Take it slow	
171	202	July 22, 1585	
171	152	November 12, 1955	
171	185	December 25, 2000	
172	203	Go to wedding	
172	188	Skip wedding	Y
172	184	Skp to fight scene	
173	179	Talk to servant about gate	
173	161	Go north	
174	THE END	Finish the story	
175	THE END	Finish the story	
176	183	Look around	
176	161	Go North	
177	206	More details	
177	THE END	Finish the story	
178	168	Fight Mercutio	
178	149	Don't fight Mercutio	Y
179	195	Tell her a secret	
179	212	Ask what she wants	
179	173	End conversation	
180	214	Talk about sex	
180	197	Fancy talk about sex	Y
180	190	Sit quietly	
181	215	Speak up	
181	198	Stay silent	
182	THE END	Finish the story	
183	176	Talk to servant	
183	161	Go north	
184	193	Fight Tybalt	
185	202	July 22, 1585	
185	152	November 12, 1955	
186	226	Look around	
186	208	Talk to servant	
186	200	Go north	
187	162	Accept the ending	
187	171	Use ghost knowledge to change	
188	180	Go home and wait	Y
189	210	At your house	
189	204	At Friar's house	
190	207	Open door	
191	201	Attack	
191	182	Defend	
192	165	I do	
192	174	No	
193	223	Tell him you love him	
193	241	Tell him it'll be ok	
193	216	Tell him to plague his houses	
194	160	Go get married	
195	173	Look around	
196	173	Look around	
197	207	Open your door	Y
198	219	Leave	
198	211	Hide wtih Juliet	
199	193	Join the fight	
199	181	Walk away	
200	146	Go north	
200	236	Go south	
201	189	Run away	
201	213	Talk your way out	
202	178	Go home and sleep	
203	220	I do	
203	175	No.	
204	218	Hide in the basement	
204	257	Complain	Y
204	248	Accept his arguments	
204	232	Go to Juliet	
205	222	Go to Juliet	Y
206	199	Continue	
207	225	Be Nurse then Juliet	
207	244	Don't do that	Y
208	226	Look around	
208	200	Go north	
209	191	Fight Tybalt	
210	221	Go to Mantua	
210	251	Go to Juliet	
210	240	Be Juliet	
211	THE END	Finish the story	
212	186	Give hat	
212	196	Refuse hat	
212	173	End conversation	
213	205	Ask Nurse about Juliet	
214	233	Have the sex talk with the author	
214	224	Pass on that	
215	THE END	Finish the story	
216	209	Wait quietly	
216	230	Summarize events	
217	183	Look around	
218	204	Resume	
219	THE END	Finish the story	
220	235	Stop reading	
220	188	Keep reading	
220	THE END	Finish the story	
221	237	Explore pharmacy	
221	229	Explore library	
222	239	Choose-you-own sex scene	Y
222	246	Skip it	
223	209	Wait quietly	
223	230	Summarize events	
224	207	Open door	
225	252	Get revenge	
225	242	Calm down	
226	208	Talk to servant	
226	200	Go north	
227	243	ADD 1 on	
227	261	ADD 2 on	
227	253	ADD 4 on	
227	306	ADD 8 on	
227	354	Step away	
228	205	Ask about Juliet	Y
229	245	Look at bookshelf	
229	258	Pick a random book	
230	250	Blame yourself	
230	238	Blame Juliet	
231	263	Wait for Romeo	
232	251	Sneak to Juliet's house	
233	207	Open door	
234	255	Keep reading	
235	THE END	Finish the story	
236	200	Restore	
236	217	Restart	
236	THE END	Finish the story	
237	229	Explore library	
238	209	Wait	
238	249	Be sexist	
239	267	I'm satisfied!	
239	260	Do better!	Y
240	180	Wait around	
241	209	Wait quietly	
241	230	Summarize events	
242	263	Wait for Romeo	
243	340	ADD 1 off	
243	269	ADD 2 on	
243	305	ADD 4 on	
243	317	ADD 8 on	
243	354	Step away	
244	254	Talk fancy	Y
244	231	Talk efficiently	
245	268	Easy mode	
245	284	Hard mode	
246	262	High five Juliet	Y
247	205	Ask about Juliet	
248	221	Go to Mantua	
249	209	Benvolio returns	
250	209	Benvolio returns	
251	259	Take the residential path	
251	272	Take the scenic route	
251	294	Take the downtown route	
251	234	Take the industrial route	
251	278	Look for another option	
252	264	Go in front	
252	275	Go in back	
253	305	ADD 1 on	
253	331	ADD 2 on	
253	340	ADD 4 off	
253	266	ADD 8 on	
253	354	Step away	
254	263	Wait for Romeo	Y
255	THE END	Finish the story	
256	302	Open a brunch spot	
256	280	Live quietly in Mantua	
256	270	Be Juliet and steal money from parents	
257	247	Hide	
257	228	Refuse to hide	Y
258	358	Math is hard. Read Fair is Foul and/or Foul is Fair	
258	300	"RANDOM SECTION" = (((((n + 5) * 2) - 4) / 2) - n) * 100	
259	THE END	Finish the story	
260	246	I'm satisfied!	Y
261	269	ADD 1 on	
261	340	ADD 2 off	
261	331	ADD 4 on	
261	276	ADD 8 on	
261	354	Step away	
262	273	Go to Mantua	
262	283	Chat with Juliet	Y
263	277	Keep waiting	
263	204	Be Romeo and get to the house	Y
264	THE END	Finish the story	
265	310	Take a hint	
265	THE END	Finish the story	
266	279	ADD 1 on	
266	285	ADD 2 on	
266	306	ADD 4 off	
266	253	ADD 8 off	
266	354	Step away	
267	246	End scene!	
268	281	To Be or Not to Be	
268	358	Fair is Foul and/or Foul is Fair	
268	1	Romeo and/or Juliet	
269	261	ADD 1 off	
269	243	ADD 2 off	
269	321	ADD 4 on	
269	295	ADD 8 on	
269	354	Step away	
270	286	Create a diversion	
270	280	Decide not to rob parents	
271	287	Investigate crimes	
272	THE END	Finish the story	
273	221	Go to Mantua	
274	239	Choose-you-own sex scene	
274	246	Skip it	
275	288	Team with Ophilia to poison the world	
275	301	Just Verona is fine	
276	295	ADD 1 on	
276	306	ADD 2 off	
276	285	ADD 4 on	
276	261	ADD 8 off	
276	354	Step away	
277	297	Choose your own sex scene	
277	289	Skip it	
278	265	Listen to a story	
278	310	Rather die	
279	266	ADD 1 off	
279	342	ADD 2 on	
279	317	ADD 4 off	
279	305	ADD 8 off	
279	291	Step away	
280	THE END	Finish the story	
281	311	Recommend it!	
282	296	Rescue her	
282	315	Keep waiting	
283	316	Make an exit	
283	293	Stick around	Y
284	124	Begin reading	
285	342	ADD 1 on	
285	266	ADD 2 off	
285	276	ADD 4 off	
285	331	ADD 8 off	
285	354	Step away	
286	319	Juliet will be a sexy guard	
286	299	Romeo will be a sexy guard	
287	303	Examine the body	
288	318	Let's do it	
288	298	Second thoughts	
289	312	High five Romeo	
290	307	Run away	
290	307	Hide out	
291	313	Look town square	
291	327	Look Romeo	
291	369	Give message	
292	332	Shout to the heavens	Y
293	308	Leave	Y
293	322	Stay	
294	274	Spend the night	
294	256	Come to Mantua	
295	276	ADD 1 off	
295	317	ADD 2 off	
295	342	ADD 4 on	
295	269	ADD 8 off	
295	354	Step away	
296	255	Get dragged somewhere	
297	309	I'm satisfied!	
297	328	Need more detail	
298	THE END	Finish the story	
299	THE END	Finish the story	
300	358	Read Fair is Foul and/or Foul is Fair	
301	THE END	Finish the story	
302	282	Send Juliet to borrow money	
302	290	Go with Juliet for borrow money	
302	270	Be Juliet and steal money from parents	
303	371	Confront Lord Montague	
303	323	Confront Lord Capulet	
304	124	Begin reading	
305	253	ADD 1 off	
305	321	ADD 2 on	
305	243	ADD 4 off	
305	279	ADD 8 on	
305	354	Step away	
306	317	ADD 1 on	
306	276	ADD 2 on	
306	266	ADD 4 on	
306	340	ADD 8 off	
306	354	Step away	
307	320	Be Juliet and rescue Romeo	
307	255	Stay captured	
308	221	Go to Mantua	
308	324	Go to Mantua, but be Juliet	Y
309	289	End scene!	
310	259	Take the residential path	
310	272	Take the scenic route	
310	294	Take the downtown route	
310	234	Take the industrial route	
311	292	Look around	
312	336	Kick Romeo out	
312	325	Keep him around	
313	335	Talk to Mercutio	
313	343	Talk to Benvolio	
313	369	Give message	
314	329	Wait for Balthasar	Y
315	THE END	Finish the story	
316	221	Go to Mantua	
316	324	Go to Mantua, but be Juliet	
317	306	ADD 1 off	
317	295	ADD 2 on	
317	279	ADD 4 on	
317	243	ADD 8 off	
317	354	Step away	
318	THE END	Finish the story	
319	326	Create a distration for Romeo	
319	337	Be Romeo while Juliet creates distraction	
320	THE END	Finish the story	
321	331	ADD 1 off	
321	305	ADD 2 off	
321	269	ADD 4 off	
321	342	ADD 8 on	
321	354	Step away	
322	THE END	Finish the story	
323	370	Arrest Lord Capulet	
323	334	Regroup at office	
324	402	Answer door	Y
325	339	Let Romeo stay	
325	384	Send him away	
326	333	Go back and be Romeo this time	
326	THE END	Finish the story	
327	313	Look town square	
327	344	Look Romeo again	
327	369	Give message	
328	289	End scene!	
329	347	Ride to Verona	Y
330	352	Go north	
330	341	Go south	
330	399	Go southeast	
331	321	ADD 1 on	
331	253	ADD 2 off	
331	261	ADD 4 off	
331	285	ADD 8 on	
331	354	Step away	
332	314	Ride to Verona	Y
333	353	Go back and try a new idea	
333	THE END	Finish the story	
334	346	Confront Lord Montague	
334	370	Confront Lord Capulet	
334	379	Re-examine the body	
335	313	Look town square	
335	327	Look Romeo	
335	369	Give message	
336	357	Answer door	
336	380	Ignore door	
337	345	Be Juliet this time	
337	THE END	Finish the story	
338	348	Be happy	
338	390	Be offended	
339	THE END	Finish the story	
340	243	ADD 1 on	
340	261	ADD 2 on	
340	253	ADD 4 on	
340	306	ADD 8 on	
340	354	Step away	
341	330	Restore	
341	217	Restart	
341	THE END	Finish the story	
342	285	ADD 1 off	
342	279	ADD 2 off	
342	295	ADD 4 off	
342	321	ADD 8 off	
342	354	Step away	
343	313	Look town square	
343	327	Look Romeo	
343	369	Give message	
344	313	Look town square	
344	327	Look Romeo again	
344	369	Give message	
345	353	Go back and try a new idea	
345	THE END	Finish the story	
346	THE END	Finish the story	
347	375	Pick flowers	
347	355	Continue to the grave	Y
348	373	Wait for tomrrow	
349	377	Make fake poison	
349	395	Make real poison	
350	THE END	Finish the story	
351	399	Get up from bench	
351	382	Look under bench	
352	372	Go south	
353	337	Be Romeo while Juliet creates distraction	
353	326	Create a distraction for Romeo	
353	376	Be Romeo AND Juliet	
354	227	Look machine	
354	236	Go south	
355	387	Attack with your sword	Y
355	415	Attack with your poison	
355	381	Tell him to leave you alone	
355	397	Work out misunderstandings	
356	392	Look at his house	
356	385	Question his friends	
357	402	Answer door	
358	360	Talk to witches	
358	365	Ignore witches	
359	292	Done reading	
359	358	Play again	
359	304	Read a different book	
359	THE END	Finish the story	
360	367	Leave the dead king	
360	364	Plant murder weapons on servants	
361	292	Done reading	
361	358	Play again	
361	304	Read a different book	
361	THE END	Finish the story	
362	292	Done reading	
362	358	Play again	
362	304	Read a different book	
362	THE END	Finish the story	
363	359	Kill Macduff's family	
363	366	Prepare your army	
364	362	Live happily ever after	
365	292	Done reading	
365	358	Play again	
365	304	Read a different book	
365	THE END	Finish the story	
366	361	Be afraid	
366	368	Be ready	
367	362	Live happily ever after	
367	363	Get really paranoid	
368	292	Done reading	
368	358	Play again	
368	304	Read a different book	
368	THE END	Finish the story	
369	330	Go south	
370	THE END	Finish the story	
371	346	Arrest Lord Montague	
371	334	Regroup at office	
372	352	Go north	
372	341	Go south	
372	399	Go southeast	
373	THE END	Finish the story	
374	393	Tell your dad off	Y
374	393	Tell her you married Romeo	
375	THE END	Finish the story	
376	394	R sneaks in while J distracts guards	
376	383	Make them kiss	
377	388	Make fake poison	
377	395	Make real poison	
378	349	Tell her you'll poison Romeo	
378	338	Tell her you married Romeo	
378	386	Say nothing	Y
379	356	Give up on this theory	
379	389	Go with Montague Imposter theory	
380	350	Ignore door	
380	402	Answer door	
381	425	Enter tomb	
382	399	Get up from bench	
382	391	Take sticks	
383	394	R sneaks in while J distracts guards	
383	401	Make them complement each other	
384	402	Answer door	
385	398	Kill the servant	
385	410	Go to Benvolio's Inn	
386	405	Tell her you married Romeo	
386	374	Tell her Tom Paris sucks	Y
387	425	Enter tomb	Y
388	THE END	Finish the story	
389	THE END	Finish the story	
390	373	Forgive her	
390	400	Forget her and live in Mantua	
391	404	Go south	
391	426	Go north	
392	THE END	Finish the story	
393	413	Go to Mantua	
393	403	Ask for comfort	Y
394	430	High five	
395	THE END	Finish the story	
396	407	Be Romeo	
396	433	Be Juliet	
396	417	Be Iago (?)	
397	THE END	Finish the story	
398	THE END	Finish the story	
399	351	Sit on bench	
399	372	Go northwest	
400	THE END	Finish the story	
401	394	R sneaks in while J distracts guards	
401	409	R&J have super powers	
402	378	Tell her you'll poison Romeo	Y
402	338	Tell her you married Romeo	
403	427	Ask fancy	Y
403	416	Ask normal	
404	194	Listen to the news as Juliet	
404	183	Play Nurse Quest again	
404	THE END	Finish the story	
405	348	Be happy	
405	390	Be offended	
406	THE END	Finish the story	
407	292	Stay Romeo	
407	424	Be Juliet	
408	428	Bail on Verona	
408	420	Bail on life	
409	423	Control the guards	
410	440	Interrogate Benvolio	
410	398	Kill Benvolio	
411	470	Juliet fights ninjas too	
411	452	Juliet fights punks	
412	422	Express your worries fancily	Y
412	435	Express your worries in slides	
413	457	Go see Friar	
413	443	Go to Romeo	
414	451	Ultimate fancy words	Y
414	434	Opposite of fancy words	
415	425	Enter tomb	
416	457	See the friar	
416	443	Go to Romeo	
417	433	Be Juliet	
418	10	Gross	
419	431	Romeo fights punks too	
419	452	Romeo fights ninjas	
420	469	Kiss him for poison	
420	444	Drop a coffin on your head	
420	463	Stab yourself	
421	453	Take revenge on ninjas	
422	468	Talk to ghost	
422	474	Drink vial	Y
423	438	Reset the heist	
423	449	Take control and solve all the problems	
424	433	Be Juliet	
424	292	Stay Romeo	
425	414	Kill yourself	Y
425	406	Cry over her	
426	351	Restore	
426	217	Restart	
426	THE END	Finish the story	
427	457	See the friar	Y
427	443	Go to Romeo	
428	THE END	Finish the story	
429	THE END	Finish the story	
430	445	Romeo fights Punks	
430	411	Romeo fights Ninjas	
430	419	Juliet fights Punks	
430	456	Juliets fights Ninjas	
431	442	Tell the ninjas the password	
432	448	Wait	Y
432	460	Go for it	
433	458	Be Romeo	
433	408	Just sleep	
434	441	Accept death	
434	461	Be Juliet	
435	468	Talk to ghost	
435	474	Drink vial	
436	280	Live happily in Mantua	
436	270	Rob your parents first	
437	459	Be Juliet again	
437	450	Keep being Romeo	
438	394	R sneaks in while J distracts guards	
439	471	Fake your death	
439	465	Talk to your mom	
440	446	Confront Mercutio with Benvolio	
440	429	Confont Mercutio alone	
441	THE END	Finish the story	
442	447	Rob Montagues too	
442	466	That's enough	
443	436	New life in Mantua	
444	THE END	Finish the story	
445	431	Juliet fights Punks too	
445	421	Juliet fights Ninjas	
446	THE END	Finish the story	
447	THE END	Finish the story	
448	473	Take the vial	Y
448	467	Go to Mantua	
449	THE END	Finish the story	
450	THE END	Finish the story	
451	441	Accept death	
451	461	Be Juliet	Y
452	THE END	Finish the story	
453	THE END	Finish the story	
454	THE END	Finish the story	
455	412	Fake your death	
455	462	Call to the Nurse	Y
456	470	Romeo fights ninjas too	
456	421	Romeo fights punks	
457	439	Find a reasonable solution	
457	432	Kill yourself	Y
458	347	Rush to Verona	
458	437	No rush to Verona	
459	THE END	Finish the story	
460	THE END	Finish the story	
461	271	Unlock new character! |Romeo - Juliet| * 10 + 41	
461	THE END	Finish the story	
461	THE END FOR REAL THIS TIME	Finish the real story	Y
462	412	Fake your death	Y
463	THE END	Finish the story	
464	472	Read the book	
464	292	Stop reading	Y
465	348	Be happy	
465	390	Be offended	
466	THE END	Finish the story	
467	436	Look for Romeo	
468	474	Drink vial	
469	444	Drop a coffin on your head	
469	463	Stab yourself	
469	454	Maybe don't kill yourself	
470	THE END	Finish the story	
471	455	Go back to Capulet Castle	
472	124	Begin reading	
473	455	Fake your death	Y
473	465	Talk to your mom	
474	124	Begin dreaming	
474	464	Be Romeo	Y
475	36	Choose a character	
476	THE END	Finish the story	
Cover	1	Read the book	Y
Cover	476	Read the ending	